#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,event,msg,target,venue
,,66,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,72,p90,latency,ring_wait,l2,delta
,,67,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,80,p99,latency,ring_wait,l2,delta
,,68,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,670,count,latency,ring_wait,mark,delta
,,69,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,68,p50,latency,ring_wait,mark,delta
,,70,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,72,p90,latency,ring_wait,mark,delta
,,71,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,80,p99,latency,ring_wait,mark,delta
,,72,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,4047,count,latency,ring_wait,spot,delta
,,73,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,68,p50,latency,ring_wait,spot,delta
,,74,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,72,p90,latency,ring_wait,spot,delta
,,75,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,76,p99,latency,ring_wait,spot,delta
,,76,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,2827,count,latency,ring_wait,trade,delta
,,77,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,72,p50,latency,ring_wait,trade,delta
,,78,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,124,p90,latency,ring_wait,trade,delta
,,79,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,168,p99,latency,ring_wait,trade,delta

#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,event,target,venue
,,80,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,12115,count,latency,ring_wait,market_state,delta
,,81,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,84,p50,latency,ring_wait,market_state,delta
,,82,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,136,p90,latency,ring_wait,market_state,delta
,,83,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,168,p99,latency,ring_wait,market_state,delta

#group,false,false,true,true,false,false,true,true,true,true,true,true
